run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch8679-seed1-8698,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,5,5,0.556,0.294,0.95,0.63,0.496,0.423,0.815,0.802,0.988,0.901,0.975,0.896,1.0,3.667,1.111,4.778,0.257,0.0,,0.0,,
slurm-batch8679-seed2-8700,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,6,0.778,0.45,0.917,0.635,0.639,0.398,0.802,0.877,0.901,0.938,1.0,0.904,0.889,2.667,0.111,2.778,0.25,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406101951-seed10-9084,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.544,0.924,0.657,0.754,0.327,0.827,0.901,0.901,1.0,1.0,0.926,1.0,2.556,0.778,3.333,0.2486,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406101951-seed3-9077,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.583,0.978,0.645,0.649,0.42,0.901,0.877,1.0,1.0,1.0,0.956,1.0,3.111,0.111,3.222,0.2322,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406101951-seed4-9078,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,5,5,0.556,0.439,0.941,0.648,0.632,0.401,0.704,0.84,0.852,1.0,0.975,0.874,1.0,3.111,0.222,3.333,0.2508,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406101951-seed6-9080,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.706,0.922,0.626,0.733,0.363,0.84,0.864,1.0,0.864,1.0,0.914,1.0,1.222,0.556,1.778,0.2286,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406144705-seed5-9236,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,0.667,0.35,1.0,0.649,0.561,0.291,0.765,0.79,0.901,1.0,1.0,0.891,1.0,3.222,0.778,4.0,0.2385,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406144705-seed7-9237,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,7,0.889,0.722,0.893,0.642,0.776,0.422,0.914,0.951,0.951,0.889,1.0,0.941,0.889,1.556,0.556,2.111,0.2473,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406144705-seed8-9238,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,5,5,0.556,0.422,0.983,0.662,0.63,0.386,0.667,0.741,0.778,0.938,0.963,0.817,1.0,2.667,0.111,2.778,0.2507,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406144705-seed9-9239,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,5,0.667,0.367,1.0,0.638,0.543,0.346,0.778,0.753,0.951,0.889,0.963,0.867,0.889,2.333,2.778,5.111,0.2473,0.0,,0.0,,
